entorno,nombre,etapa,tipo,area_responsable,descripcion,monto_contrato,comuna,barrio,direccion,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,licitacion_oferta_empresa,licitacion_anio,contratacion_tipo,nro_contratacion,cuit_contratista,mano_obra,destacada,expediente_numero,financiamiento
Plan Tribunales,Templo Libertad y Museo (Conjunto Cira): Puesta en valor de fachada,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"Dentro del plan que comprende el area ambiental Tribunales, el objetivo de la restauracion fue devolver al estado original las fachadas del conjunto de tres edificios correspondientes a la congregacion israelita de la Republica Argentina, incluyendo para ello la variedad de ornamentaciones, herreri­a arti­stica, molduras, aberturas y pilastras, como asi­ tambien la superficie muraria y todo aquel elemento arquitectonico de valor patrimonial que estuviese afectado, recuperando su forma, textura, color y diseño.","$ 4.309.955,00",1,san nicolas,DESCONOCIDO,5/1/2017,15/11/2017,10,100,Cahem S.A,2016,Desconocida,Desconocido,30708075910,0,NO,0,Desconocido
Entorno Microcentro,Edificio Ateliers: Puesta en valor de fachada,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"En el marco de la recuperacion de fachadas del plan integral Microcentro, los trabajos que se realizaron en este edificio catalogado, estuveron orientados a preservar las caracteri­sticas y valores que su arquitectura y el paisaje que teni­a en las primeras decadas del siglo pasado. La puesta en valor de las fachadas, en ambas calles, comprendio el retiro de todos los elementos no originales de la fachada, la recuperacion de las terminaciones y la reposicion de los elementos originales perdidos, conservando la transparencia y la opacidad, las texturas, los planos rectos y curvos, la composicion de los planos, y la alta calidad espacial de terrazas, patios y planta baja.","$ 3.730.049,00",1,retiro,PARAGUAY Y SUIPACHA,4/1/2017,17/8/2017,7,100,Cahem S.A,2016,Desconocida,Desconocido,30708075910,0,NO,0,Desconocido
Eje Ci­vico,Avenida de Mayo: Puesta en valor de fachadas,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"En el marco de la puesta en valor del eje ci­vico, esta obra comprendio la recuperacion de fachadas de valor patrimonial. Se propuso la reparacion de superficies de terminacion, carpinteri­as principales, el ordenamiento general y la iluminacion arti­stica de fachadas como complemento del plan sobre el eje de la Av. de Mayo en toda su extension.","$ 28.566.907,00",1,montserrat,DESCONOCIDO,3/1/2017,30/11/2018,22,100,Cunumi S.A,2016,Desconocida,Desconocido,30615748036,0,NO,0,Desconocido
Entorno Balvanera,Av. Entre Ri­os: Puesta en valor de fachadas,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,Obra realizada en el marco de la puesta en valor del Ccca Entre Ri­os/Callao. Contemplo la recuperacion e iluminacion de fachadas con valor patrimonial.,"$ 17.843.919,00",3,balvanera,DESCONOCIDO,12/1/2016,1/11/2017,22,100,Hit Construcciones S.A,2016,Desconocida,Desconocido,30709605158,0,NO,0,Desconocido
Entorno Microcentro,Calle Suipacha: Puesta en valor de fachadas,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,Obra realizada en el marco del Plan Integral Microcentro. Se realizo la conservacion e iluminacion de las fachadas con valor patrimonial sobre la calle Suipacha.,"$ 11.165.536,00",1,retiro,DESCONOCIDO,11/1/2016,31/7/2017,18,100,Hit Construcciones S.A,2016,Desconocida,Desconocido,30709605158,0,NO,0,Desconocido
Entorno La Boca,Paseo Caminito: Puesta en valor de fachadas,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"Obra realizada en el marco de la puesta en valor del entorno urbano La Boca. El objetivo de la restauracion fue devolver el estado original las fachadas, incluyendo para ello la variedad de ornamentaciones, herreri­a arti­stica, molduras y pilastras, como asi­ tambien la superficie muraria y todo aquel elemento arquitectonico de valor patrimonial que estuviese afectado, recuperando su forma, textura, color y diseño. Esto incluyo la remocion de reparaciones anteriores o la realizacion de duplicaciones de piezas irrecuperables o faltantes del original.","$ 8.984.141,00",4,la boca,DESCONOCIDO,5/1/2017,20/11/2017,10,100,Hit Construcciones S.A,2016,Desconocida,Desconocido,30709605158,0,NO,0,Desconocido
Obras en escuelas de Comuna 1,Escuela Presidente Roca: Puesta en valor de la fachadas,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"Como parte del plan de puesta en valor del area ambiental Tribunales, se propusieron tareas de conservacion en las fachadas del edificio Escuela Presidente Roca.","$ 4.685.028,00",1,san nicolas,DESCONOCIDO,9/1/2016,5/5/2017,16,100,Hit Construcciones S.A,2016,Desconocida,Desconocido,30709605158,0,NO,0,Desconocido
Hospital Rivadavia,Hospital Rivadavia: Puesta en valor de fachada,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"Se trabajo en la recuperacion de la fachada de la maternidad del Hospital Rivadavia para mejorar el acceso y funcionamiento interno del hospital. Se llevo a cabo la puesta en valor de uno de los elementos arquitectonicos de identidad barrial, que acompaña el conjunto de la Biblioteca Nacional, el CEMIC y la Iglesia San Agusti­n","$ 20.423.578,00",2,recoleta,LAS HERAS GENERAL AV. 2670,7/1/2017,11/10/2018,21,100,Hit Construcciones S.A,2016,Licitacion Publica,386/SIGAF/2017,30709605158,0,NO,28.058.403-DGRU/2016,Desconocido
Entorno Retiro,Iglesia Del Socorro: Puesta en valor de fachada,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,Obra relizada en el mardo del plan integral para el area de Retiro. Se llevo a cabo la conservacion y puesta en valor de la fachada de la Basi­lica Del Socorro.,"$ 3.809.071,00",1,retiro,DESCONOCIDO,10/1/2016,1/1/2017,12,100,Estudio Ing. Villa S.R.L,2016,Desconocida,Desconocido,30707977481,0,NO,0,Desconocido
Entorno Microcentro,Calle Marcelo T. De Alvear: Puesta en valor de fachadas,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,Obra realizada en el marco del plan integral Microcentro. Se llevo a cabo la conservacion e iluminacion de las fachadas con valor patrimonial sobre la calle Marcelo T De Alvear.,"$ 1.000.000,00",1,retiro,DESCONOCIDO,6/1/2016,11/1/2016,0,100,Vgm Arquitectos,2016,Desconocida,Desconocido,30708870281,0,NO,0,Desconocido
Entorno Retiro,Palacio Noel: Puesta en valor de fachada,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"Como parte del plan integral para el area de Retiro, se propuso la conservacion y puesta en valor de la fachada principal del Museo Isaac Fernandez Blanco/Casa Noel.","$ 2.331.744,00",1,retiro,DESCONOCIDO,10/1/2016,1/1/2017,12,100,Hit Construcciones S.A,2016,Desconocida,Desconocido,30709605158,0,NO,0,Desconocido
Entorno Villa del Parque,Racing Club - Villa Del Parque: Puesta en valor de fachada,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,Se llevo a cabo la conservacion y puesta en valor de la fachada del edificio.,"$ 2.120.100,00",11,villa del parque,DESCONOCIDO,9/1/2016,23/1/2017,12,100,Rol Ingenieria S.A,2016,Desconocida,Desconocido,30578447659,0,NO,0,Desconocido
Entorno Once,Recova de Once: Puesta en valor de fachadas,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"En el marco del Plan para la puesta en valor del area ambiental Once, se busco volver al estado original a las fachadas de edificios de valor patrimonial situados sobre el eje de la Av. Pueyrredon. Se propusieron intervenciones en la recova y en un sector de la fachada de la estacion de ferrocarril, incluyendo para ello la variedad de ornamentaciones, molduras, aberturas y pilastras, como asi­ tambien la superficie muraria y todo aquel elemento arquitectonico de valor patrimonial que estuviese afectado y/o a restaurar, recuperando su forma, textura, color y diseño. Esto incluyo la remocion de reparaciones anteriores o la realizacion de duplicaciones de piezas irrecuperables o faltantes del original.","$ 4.000.765,00",3,balvanera,"MITRE, BARTOLOME Y PUEYRREDON AV.",11/1/2017,3/1/2018,12,100,Cahem S.A,2017,Licitacion Privada,Desconocido,30708075910,0,NO,0,Desconocido
Entorno Microcentro,"Iglesias Santi­simo Sacramento, Metodista y Alemana: Puesta en valor de fachadas",Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"Obra realizada en el marco del plan integral Microcentro. Se busco poner en valor las fachadas de las iglesias Metodista, Evangelica del Ri­o de La Plata y Santi­simo Sacramento, recuperando las superficies de terminacion, carpinteri­as principales, solados de atrios y cercos sobre li­nea oficial. Se propuso tambien la iluminacion arti­stica de las fachadas.","$ 6.219.712,00",1,san nicolas,FLORIDA Y VIAMONTE,10/1/2016,24/2/2017,13,100,Cahem S.A,2016,Desconocida,Desconocido,30708075910,0,NO,0,Desconocido
Tuneles,Tuneles Min. Carranza y Av. Libertador: Puesta en valor,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"Se llevo a cabo el acondicionamiento acustico de ambos tuneles mediante paneles y barreras acusticas, y la instalacion de un nuevo muro verde, en sustitucion del existente.","$ 29.586.490,00",14,palermo,DESCONOCIDO,4/1/2016,1/4/2017,15,100,Ilubaires S.A,2016,Desconocida,Desconocido,30693811860,0,NO,0,Desconocido
Entorno Palermo,Plaza Italia - Libreros: Rehabilitacion De Puestos,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"Pabellon con 40 nuevos puestos para la feria de libros de Plaza Italia. Se incorporaron arboles y arbustos (260m2 de nuevo espacio verde), se renovaron veredas, se incorporaron bancos y se renovaron luminarias.","$ 15.000.000,00",14,palermo,DESCONOCIDO,6/1/2016,9/1/2016,0,100,Industrias Mas S.R.L,2016,Desconocida,Desconocido,30707041990,0,NO,0,Desconocido
Bajo Autopista,"Recuperacion De Bajo Autopistas 25 De Mayo (Av. Entre Ri­os, Av. Jujuy, Av. Boedo, Av. La Plata, Av. J. M. Moreno)",Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"Se llevo a cabo la recuperacion del espacio publico y la puesta en valor de fachadas bajo autopista. Se incorporaron muros verdes y modulos backlight, se realizo una intervencion arti­stica en columnas t tablero Autopista 25 de Mayo, y la renovacion de toda la iluminacion del area.","$ 38.823.979,00",5,boedo,BOEDO AV. Y CONSTITUCION,1/1/2017,23/8/2017,7,100,Algieri S.A,2016,Desconocida,Desconocido,30699339810,0,NO,0,Desconocido
Plan Tribunales,Lavalle (E/ Talcahuano Y Callao): Rehabilitacion de calle,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"En el marco del plan para el area de Tribunales, la obra comprendio el recambio de aceras, cazoletas y vados peatonales, la restauracion de equipamiento urbano, el completamiento del arbolado de alineacion, soterramiento de cableado aereo, puesta en valor fachada Escuela Tecnica nº 9 Alejandro Volta, y la transformacion de darsenas de estacionamiento existentes en nuevas areas peatonales.","$ 17.135.319,00",1,san nicolas,DESCONOCIDO,11/1/2017,28/12/2017,11,100,Algieri S.A,2017,Desconocida,Desconocido,30699339810,0,NO,0,Desconocido
Entorno Retiro,Retiro - Etapa II: Suipacha I + Sgto. Cabral + Juncal,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"Como parte del plan integral para el area de Retiro, en la etapa II se propuso la nivelacion de la calle Suipacha entre Santa Fe y Juncal con actualizacion de ciclovi­a existente, la nivelacion de la esquina de Juncal y Suipacha, la reparacion de aceras sobre calle Juncal entre Esmeralda y C. Pellegrini y el ajuste de ritmos de arbolado y alumbrado.","$ 24.848.244,00",1,retiro,DESCONOCIDO,8/1/2017,30/8/2017,7,100,Cunumi S.A,2016,Desconocida,Desconocido,30615748036,0,NO,0,Desconocido
Entorno Retiro,Retiro - Etapa III: Suipacha II + Arroyo + Juncal,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"Como parte del plan integral para el area de Retiro, en la etapa II se propuso la nivelacion de la calle Arroyo entre Carlos Pellegrini y Esmeralda y de la calle Suipacha entre Juncal y Av. del Libertador, el ensanche de aceras sobre la calle Arroyo y la correccion de ritmos de arbolado y luminarias.","$ 29.618.187,00",1,retiro,DESCONOCIDO,10/1/2016,25/7/2017,18,100,Da Fre Obras Civiles S.A,2016,Desconocida,Desconocido,30711388768,0,NO,0,Desconocido
Entorno Retiro,Retiro - Etapa I: Basavilbaso + Juncal,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"Como parte del plan integral para el area de Retiro, en la etapa I se propuso la nivelacion de la calle Basavilbaso entre Arenales y Av. del Libertador, el ensanche de aceras en la calle Juncal entre Esmeralda y Maipu/Av. del Libertador, incorporacion de una segunda li­nea de arbolado sobre juncal, la correccion del ritmo de arbolado y luminarias. Se propuso ademas la exaltacion de la esquina Basavilbaso y Juncal mediante luminarias y el reemplazo de estacionamiento a 90º por paralelo sobre la calle Juncal.","$ 25.644.971,00",1,retiro,DESCONOCIDO,11/1/2016,23/6/2017,17,100,Cunumi S.A,2016,Desconocida,Desconocido,30615748036,0,NO,0,Desconocido
Entorno Constitucion,Santa Casa Ejercicios Espirituales: Puesta en valor de fachada y entorno,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"La propuesta incluyo el ensanche de aceras sobre Av. Independencia entre Lima y Salta y de calle Salta entre Estados Unidos y Av. Independencia, y la iluminacion de fachadas del edificio sobre calle Estados Unidos, Salta y Av. Independencia.","$ 5.091.500,00",1,constitucion,DESCONOCIDO,9/1/2016,6/3/2017,14,100,Instalectro S.A.,2016,Desconocida,Desconocido,33661628729,0,NO,0,Desconocido
Entorno Barracas,Centro Comercial a Cielo Abierto Suarez (E/ Av. Patricios e Isabel La Catolica),Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"Se llevo a cabo el ensanche de acera par, ensanche de esquinas, ordenamiento de estacionamiento, arbolado nuevo, reemplazo de catenarias por alumbrado led vial y peatonal, renovacion total de aceras, soterrado de servicios, puesta en valor de esquinas con li­nea municipal particularizada, mejoras y ampliacion en desagi¼es pluviales de calzada, y puesta en valor de plaza Quinquela Marti­n.","$ 23.607.290,00",4,barracas,DESCONOCIDO,9/1/2017,14/3/2018,14,100,Instalectro S.A.,2017,Desconocida,Desconocido,33661628729,0,NO,0,Desconocido
Plan Tribunales,Plaza Lavalle: Renovacion integral,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"En el marco del plan para el area de Tribunales, el proyecto planteo la traza de un camino principal que enlaza las tres manzanas uniendo los puntos principales y de transito frecuente, el mismo nace en el extremo de Diagonal Norte, uniendo la plaza con el Obelisco y la boca del subte li­nea d, hasta llegar a Av. Cordoba en su interseccion con la calle Libertad. Se incorporaron caminos secundarios mas angostos y se previo el ensanche de la vereda frente al Teatro Colon, proyectando un espacio a modo de atrio. Se contemplo la reubicacion de la feria de libreros, la disminucion de la presencia de automoviles trasladando los estacionamientos al subsuelo, y se incorporo un nuevo patio de juegos y nuevo solado perimetral.","$ 57.483.603,00",1,san nicolas,DESCONOCIDO,11/1/2016,15/8/2017,19,100,Algieri S.A,2016,Desconocida,Desconocido,30699339810,0,NO,0,Desconocido
Plan Tribunales,"Calles Lavalle, Diagonal Norte Y Pasaje Del Carmen: Rehabilitacion",Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"En la etapa II del plan integral para el area de Tribunales, se propuso la reparacion de solados sobre Av. Diagonal Roque Saenz Peña, la nivelacion de la calle Lavalle entre Cerrito y Libertad, el ajuste de radios de esquina en Diagonal Roque Sanez Peña y Lavalle, el ensanche de aceras en la calle Libertad entre Av. Corrientes y Lavalle y la correccion e intensificacion de ritmos de arbolado y alumbrado.","$ 17.075.234,00",1,san nicolas,DESCONOCIDO,10/1/2016,9/5/2017,16,100,Da Fre Obras Civiles S.A,2016,Desconocida,Desconocido,30711388768,0,NO,0,Desconocido
Plan Tribunales,Plaza Lavalle: Rehabilitacioin de las calles del entorno,Finalizada,Espacio Publico,Ministerio de Espacio Publico e Higiene Urbana,"En la etapa III del plan integral para el area de Tribunales, se propuso el ajuste de radios de esquinas en general, el ensanche de aceras en calle Talcahuano entre Cordoba y Tucuman, la eliminacion de darsenas sobre calle Uruguay, los ensanches de calle Tucuman entre Talcahuano y Uruguay y calle Viamonte entre Talcahuano y Uruguay. Se proyecto ademas la eliminacion de doble calzada sobre Tucuman entre Talcahuano y Libertad, la adecuacion de bordes de plaza, la nivelacion de esquinas Talcahuano y Tucuman, Talcahuano y Viamonte, Libertad y Tucuman y Libertad y Viamonte, y la correccion e intensificacion ritmos arbolado y alumbrado.","$ 33.046.626,00",1,san nicolas,DESCONOCIDO,11/1/2016,28/6/2017,17,100,Bosquimano S.A,2016,Desconocida,Desconocido,30711470022,0,NO,0,Desconocido
Barrio Fraga,Barrio Fraga: Vivienda,Finalizada,Vivienda,Instituto de la Vivienda,"Barrio Fraga, Etapa 2. 678 Viviendas, 70 Locales Comerciales y Obras Exteriores. Tipologi­a Pb + 2 / 4 / 8 Pisos. Prolong. Av. Triunvirato, Av. Elcano, Guevara, Prolong. Cespedes, Prolong. Teodoro Garci­a y Vi­as Ffcc Urquiza. Barrio Chacarita, Comuna 15.","$ 388.423.141,00",15,chacarita,"FRAGA Y GARCIA, TEODORO",1/3/2018,1/6/2020,16,100,Pecam,2017,Licitacion Publica,37--IVC-2017,30616509361,30,NO,16116111--IVC-2017,Desconocido
Barrio Papa Francisco,Barrio Papa Francisco: Etapa 6,Finalizada,Vivienda,Instituto de la Vivienda,"Barrio Papa Francisco, Etapa 6. 176 Viviendas, 11 Locales Comerciales y Obras Exteriores. Tipologi­a Planta Baja + 4 Pisos. Avda. Escalada y Avda. Fernandez De La Cruz, Barrio Villa Lugano, Comuna 8.","$ 437.833.237,00",8,villa lugano,"ESCALADA AV. Y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",10/12/2017,20/5/2019,17,100,Green S.A,2017,Licitacion Publica,LP 10/17,30638727079,155,NO,0,Desconocido
Barrio Rodrigo Bueno,Barrio Rodrigo Bueno: Infraestructura,Finalizada,Vivienda,Instituto de la Vivienda,"Barrio Rodrigo Bueno Etapa 2. 612 Viviendas, 53 Locales Comerciales y Obras Exteriores. Tipologi­a Pb + 1 Piso / Pb + 2 Pisos / Pb + 3 Pisos. Av. España, Reserva Ecologica Costanera Sur y Macizo Rodrigo Bueno. Barrio Puerto Madero. Comuna 1. El monto total de las obras de infraestructura, movimiento de suelo y viviendas nuevas es de $1.624.752.066","$ 1.624.752.066,00",1,la boca,ESPAÑA AV. 2230,26/1/2017,31/8/2019,26,100,Criba S.A.,2017,Licitacion Publica,LP 86/17,30505454436,103,NO,0,Desconocido
Barrio Rodrigo Bueno,Barrio Rodrigo Bueno: Movimiento de suelo,Finalizada,Vivienda,Instituto de la Vivienda,"Barrio Rodrigo Bueno Etapa 2. 612 Viviendas, 53 Locales Comerciales y Obras Exteriores. Tipologi­a Pb + 1 Piso / Pb + 2 Pisos / Pb + 3 Pisos. Av. España, Reserva Ecologica Costanera Sur y Macizo Rodrigo Bueno. Barrio Puerto Madero. Comuna 1. El monto total de las obras de infraestructura, movimiento de suelo y viviendas nuevas es de $1.624.752.066","$ 22.189.064,00",1,la boca,ESPAÑA AV. 2230,17/4/2017,8/1/2018,9,100,Lurovial S.A,2017,Licitacion Publica,LP 36/17,30711831955,40,NO,0,Desconocido
Barrio Rodrigo Bueno,Barrio Rodrigo Bueno: Vivienda nueva (611 UF),Finalizada,Vivienda,Instituto de la Vivienda,"Barrio Rodrigo Bueno Etapa 2. 611 Viviendas, 53 Locales Comerciales y Obras Exteriores. Tipologi­a Pb + 1 Piso / Pb + 2 Pisos / Pb + 3 Pisos. Av. España, Reserva Ecologica Costanera Sur y Macizo Rodrigo Bueno. Barrio Puerto Madero. Comuna 1. El monto total de las obras de infraestructura, movimiento de suelo y viviendas nuevas es de $1.624.752.066","$ 205.800.503,60",4,la boca,ESPAÑA AV. 2230,26/1/2017,30/4/2020,28,100,Vivian Hnos S.A.,2017,Licitacion Publica,LP 35/17,30504418649,75,NO,0,Desconocido
Barrio 20,Papa Francisco: Etapa 6,Finalizada,Vivienda Nueva,Instituto de la Vivienda,La obra comprende la construccion de 184 viviendas nuevas en el Barrio Papa Francisco para habitantes del Barrio 20,"$ 210.593.221,19",8,villa lugano,PAPA FRANCISCO,9/12/2019,31/5/2021,17,100,Conorvial,2016,Licitacion Publica,LP 06/17,30516492747,150,NO,0,Desconocido
Barrio 20,Barrio 20: Cancha De Los Huerfanos,Finalizada,Espacio Publico,Ministerio de Desarrollo Humano y Habitat,"Se implemento la puesta en valor a traves de la construccion de una cancha de futbol 9, el reacondicionamiento de la plaza con equipamiento, juegos para niños y niñas y estaciones saludables.","$ 10.786.799,00",8,villa lugano,"MIRALLA Y BATLLE Y ORDOÑEZ, JOSE P.T.",23/3/2017,23/3/2018,12,100,Vivia S.A.,2016,Desconocida,Desconocido,30709911828,13,NO,0,Desconocido
Barrio 20,Barrio 20: Sector Consolidado - Red De Infraestructura,Finalizada,Hidraulica E Infraestructura,Ministerio de Desarrollo Humano y Habitat,"Dotacion de infraestructura, ejecuccion de red de agua, desague de cloacal, red electrica y red de datos","$ 74.801.899,00",8,villa lugano,POLA Y UNANUE,16/12/2017,20/12/2019,13,100,Urban Baires S.A.,2017,Licitacion Publica Nacional,LPN 698/17,30711290075,13,NO,0,Desconocido
Barrio 21 24,Barrio 21 24: Infraestructura Manzana 12 Y 13,Finalizada,Hidraulica E Infraestructura,Ministerio de Desarrollo Humano y Habitat,"Se realizo la dotacion de infraestructura y reacondicionamiento de solados, la ejecucion de red de agua, desagi¼e pluvial y desagi¼e cloacal.","$ 2.342.595,00",4,barracas,"LUNA Y CRUZ, OSVALDO",3/7/2017,28/3/2018,8,100,Cooperativa,2017,Desconocida,Desconocido,Desconocido,42,NO,0,Desconocido
Barrio 21 24,Barrio 21 24: Plaza Seca,Finalizada,Espacio Publico,Ministerio de Desarrollo Humano y Habitat,"Se realizo la puesta en valor del espacio publico existente. Se llevo a cabo el mejoramiento y cierre de la cancha existente para la construccion de un espacio de skate. Ademas, la definicion del cordon perimetral para la futura obra de transito.","$ 2.984.325,00",4,barracas,"IRIARTE, GRAL. AV. E IGUAZU",12/8/2017,15/8/2018,12,100,Cooperativa,2017,Desconocida,Desconocido,Desconocido,42,NO,0,Desconocido
Barrio 21 24,Barrio 21 24: Plaza Cinthia,Finalizada,Espacio Publico,Ministerio de Desarrollo Humano y Habitat,"Se recupero el espacio de juegos y la superficie de la ermita. Se doto de equipamiento, alumbrado publico y desagi¼e pluvial. ","$ 5.971.259,00",4,barracas,CALIFORNIA 3400,9/8/2017,3/1/2018,5,100,Cooperativa,2017,Desconocida,Desconocido,Desconocido,28,NO,0,Desconocido
Entorno Cildañez,Entorno Cildañez: Eje White,Finalizada,Espacio Publico,Ministerio de Desarrollo Humano y Habitat,"Se realizo el mejoramiento de solados de veredas sobre la calle White y pasillos que desembocan. Ademas, el mejoramiento de la accesibilidad, alumbrado publico y el ordenamiento del espacio publico. ","$ 17.439.199,00",9,parque avellaneda,WHITE 2000,23/3/2017,30/4/2018,13,100,Servicios Ibarra S.A.,2016,Desconocida,Desconocido,30712217444,17,NO,0,Desconocido
Villa 15,"Barrio 15: Infraestructura, Pavimentacion Y Puesta En Valor De Espacio Publico Cañada De Gomez (Sector 1-2-3)",Finalizada,Espacio Publico,Ministerio de Desarrollo Humano y Habitat,"En el Barrio 15 se llevo a cabo la dotacion de desagi¼es cloacales y pluviales, la construccion de calzadas de hormigon, solado intertrabado, veredas de cemento peinado, areas de estacionamiento y el reacondicionamiento de la cancha de Piki Voley.","$ 7.360.782,00",8,villa lugano,SANTANDER 5943,18/8/2017,29/12/2017,4,100,Cooperativa,2017,Desconocida,Desconocido,Desconocido,93,NO,0,Desconocido
Barrio 21 24,Barrio 21 24: Pasaje Daniel De La Sierra,Finalizada,Hidraulica E Infraestructura,Ministerio de Desarrollo Humano y Habitat,"Se doto de infraestructura y equipamiento urbano, ejecucion de red de agua, desagi¼e pluvial, desagi¼e cloacal, red electrica, alumbrado publico y red de datos. ","$ 17.272.505,00",4,barracas,"CRUZ, OSVALDO AV. 3400",28/3/2017,19/10/2018,19,100,Kopar S.A,2016,Licitacion Publica,1295-SIGAF/16,30707504990,26,NO,0,Desconocido
Barrio Calaza,Barrio Calaza: Complejo 8 Torres,Finalizada,Espacio Publico,Ministerio de Desarrollo Humano y Habitat,"Se rehabilitaron los espacios comunes, se suministraron juegos para niños y niñas, se doto de alumbrado publico y ejecucion de desagi¼es pluviales.","$ 8.051.000,00",8,villa soldati,LACARRA AV. 3500,23/6/2017,16/3/2018,9,100,Consfre S.R.L,2017,Desconocida,Desconocido,30687827445,0,NO,0,Desconocido
Entorno Villa Soldati,Nido Soldati: Ampliacion,Finalizada,Arquitectura,Ministerio de Desarrollo Humano y Habitat,Se realizo el techado de cancha existente y se construyo un espacio cubierto para albergar talleres para llevar a cabo actividades.,"$ 7.334.313,00",8,villa soldati,CORRALES 3400,14/3/2017,30/11/2017,8,100,Vivero Cuculo S.R.L,2016,Desconocida,Desconocido,30650273652,0,NO,0,Desconocido
Villa 15,Barrio 15: Eje Ferroviario,Finalizada,Hidraulica E Infraestructura,Ministerio de Desarrollo Humano y Habitat,"Se ejecutaron y repararon la red de infraestructura de pluvial y cloacal junto a conecciones domiciliarias, alumbrado publico, ordenamiento del espacio publico, ejecucion de calzada vehicular y veredas. Ademas, se realizo la puesta en valor de la plaza con equipamiento. ","$ 14.446.296,00",8,villa lugano,"PERON, EVA AV. 6300",28/3/2017,31/8/2018,17,100,Kopar S.A,2016,Desconocida,Desconocido,30707504990,0,NO,0,Desconocido
Plan 54 escuelas,Jardi­n de Infantes Integral N.° 9 D.E. 21,Finalizada,Escuelas,Ministerio de Educacion,Inicial,"$ 6.339.454,00",8,villa lugano,"OLASCOAGA, MANUEL JOSE, CNEL. 5001",10/2/2016,30/3/2017,22,100,CO SE BA CONSTRUCCIONES Y SERVICIOS BUENOS AIRES S A,2016,Licitacion Publica,Desconocido,30678613033,0,NO,0,Desconocido
Plan 54 escuelas,Jardi­n de Infantes Integral N.° 3 D.E. 15,Finalizada,Escuelas,Ministerio de Educacion,Inicial,"$ 5.977.447,00",12,saavedra,BESARES 4327,10/2/2016,30/3/2017,13,100,CO SE BA CONSTRUCCIONES Y SERVICIOS BUENOS AIRES S A,2016,Licitacion Publica,Desconocido,30678613033,0,NO,0,Desconocido
Plan 54 escuelas,Jardi­n de Infantes Integral N.° 10 D.E. 4,Finalizada,Escuelas,Ministerio de Educacion,Inicial,"$ 6.499.921,00",4,la boca,MARTI­N RODRIGUEZ 425,20/5/2015,30/6/2017,45,100,Teximco S.A.,2015,Licitacion Publica,Desconocido,30640087257,0,NO,0,Desconocido
Plan 54 escuelas,Jardi­n de Infantes Integral N.° 14 D.E. 5,Finalizada,Escuelas,Ministerio de Educacion,Inicial,"$ 5.006.510,00",4,parque patricios,"GARCIA, MANUEL 370",10/5/2016,30/4/2017,11,100,Aparo Pablo Gustavo,2016,Licitacion Publica,Desconocido,20183895630,0,NO,0,Desconocido
Plan 54 escuelas,Jardi­n de Infantes Integral N.° 14 D.E. 19,Finalizada,Escuelas,Ministerio de Educacion,Inicial,"$ 2.457.851,00",7,flores,VARELA AV. 1802,5/12/2016,30/3/2017,3,100,Dilthey S.A.,2016,Licitacion Publica,Desconocido,30711331847,0,NO,0,Desconocido
Plan 54 escuelas,Polo educativo Mataderos - Jardi­n de Infantes Integral N.° 9 D.E. 20,Finalizada,Escuelas,Ministerio de Educacion,Inicial,"$ 21.196.862,00",9,mataderos,MURGUIONDO  2265,1/11/2016,28/2/2018,15,100,Urban Baires S.A.,2016,Licitacion Publica,731--SSCRYAC-2016,30711290075,19,NO,15050172--MGEYA-2016,Desconocido
